Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Tot Cool Cap [W]
00:10:00,5.479199E+00,7.424599E+04,2.765467E+02,2.639448E+06,5.461322E+06,5.326364E+01,1.020028E+06,5.479199E+00,3.642100E+04,1.231898E+05,5.479199E+00,9.131403E+04,7.453408E+01,7.118605E+05,2.350398E+06,5.479199E+00,9.186461E+04,6.797456E+01,6.492586E+05,2.199262E+06,9.648523E+02,1.850119E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.190706E+02,1.186059E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.252529E+02,1.583138E+07,5.479199E+00,0.000000E+00,0.000000E+00
00:20:00,5.479199E+00,7.476904E+04,2.697068E+02,2.574270E+06,5.349728E+06,5.665143E+01,1.084818E+06,5.479199E+00,3.589795E+04,1.214194E+05,5.479199E+00,9.183708E+04,6.758659E+01,6.456257E+05,2.148579E+06,5.479199E+00,9.238766E+04,6.102533E+01,5.830038E+05,1.990779E+06,9.648523E+02,1.850119E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.190706E+02,1.186059E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.252529E+02,1.583138E+07,5.479199E+00,0.000000E+00,0.000000E+00
00:30:00,5.479199E+00,7.529209E+04,2.630336E+02,2.510665E+06,5.239296E+06,5.995610E+01,1.148030E+06,5.479199E+00,3.537490E+04,1.196559E+05,5.479199E+00,9.236014E+04,6.081014E+01,5.810033E+05,1.948220E+06,5.479199E+00,9.291072E+04,5.424851E+01,5.183741E+05,1.783810E+06,9.648523E+02,1.850119E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.190706E+02,1.186059E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.252529E+02,1.583138E+07,5.479199E+00,0.000000E+00,0.000000E+00
00:40:00,5.479199E+00,7.581515E+04,2.565275E+02,2.448638E+06,5.130801E+06,6.317782E+01,1.209668E+06,5.479199E+00,3.485184E+04,1.178992E+05,5.479199E+00,9.288319E+04,5.420599E+01,5.180054E+05,1.749923E+06,5.479199E+00,9.343377E+04,4.764241E+01,4.553538E+05,1.570477E+06,9.648523E+02,1.850119E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.190706E+02,1.186059E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.252529E+02,1.583138E+07,5.479199E+00,0.000000E+00,0.000000E+00
00:50:00,5.479199E+00,7.633820E+04,2.501886E+02,2.388191E+06,5.024785E+06,6.631666E+01,1.269733E+06,5.479199E+00,3.432879E+04,1.161494E+05,5.479199E+00,9.340624E+04,4.777269E+01,4.566187E+05,1.554038E+06,5.479199E+00,9.395682E+04,4.120913E+01,3.939631E+05,1.359432E+06,9.648523E+02,1.850119E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.190706E+02,1.186059E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.252529E+02,1.583138E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:00:00,5.479199E+00,7.686125E+04,2.440172E+02,2.329326E+06,4.921430E+06,6.937265E+01,1.328226E+06,5.479199E+00,3.380574E+04,1.144063E+05,5.479199E+00,9.392929E+04,4.151180E+01,3.968580E+05,1.360789E+06,5.479199E+00,9.447988E+04,3.494645E+01,3.341813E+05,1.153156E+06,9.648523E+02,1.850119E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.190706E+02,1.186059E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.252529E+02,1.583138E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:10:00,5.479199E+00,7.720995E+04,2.381844E+02,2.273836E+06,4.824355E+06,7.226130E+01,1.383369E+06,5.479199E+00,3.345703E+04,1.132480E+05,5.479199E+00,9.427800E+04,3.559652E+01,3.405374E+05,1.173280E+06,5.479199E+00,9.482858E+04,2.902913E+01,2.778369E+05,9.588107E+05,9.648523E+02,1.850119E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.190706E+02,1.186059E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.252529E+02,1.583138E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:20:00,5.479199E+00,7.755865E+04,2.326897E+02,2.221541E+06,4.730783E+06,7.498299E+01,1.435345E+06,5.479199E+00,3.310833E+04,1.120927E+05,5.479199E+00,9.462670E+04,3.002482E+01,2.874635E+05,9.911991E+05,5.479199E+00,9.517728E+04,2.345487E+01,2.247342E+05,7.756314E+05,9.648523E+02,1.850119E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.190706E+02,1.186059E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.252529E+02,1.583138E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:30:00,5.479199E+00,7.790736E+04,2.275343E+02,2.172453E+06,4.640967E+06,7.753701E+01,1.484141E+06,5.479199E+00,3.275963E+04,1.109404E+05,5.479199E+00,9.497540E+04,2.479906E+01,2.376591E+05,8.202595E+05,5.479199E+00,9.552598E+04,1.822437E+01,1.748804E+05,6.036553E+05,9.648523E+02,1.850119E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.190706E+02,1.186059E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.252529E+02,1.583138E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:40:00,5.479199E+00,7.825606E+04,2.227187E+02,2.126576E+06,4.556347E+06,7.992305E+01,1.529750E+06,5.479199E+00,3.241093E+04,1.097911E+05,5.479199E+00,9.532410E+04,1.991746E+01,1.911081E+05,6.596678E+05,5.479199E+00,9.587468E+04,1.333926E+01,1.282916E+05,4.429372E+05,9.648523E+02,1.850119E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.190706E+02,1.186059E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.252529E+02,1.583138E+07,5.479199E+00,0.000000E+00,0.000000E+00
